Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,SRA Study,Tissue
SRR8074930,miRNA-Seq,75,3273240825,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1503594261,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX4902800,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,B16Bs,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074931,miRNA-Seq,75,5408709000,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",2577421113,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX4902799,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,B16As,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074932,miRNA-Seq,75,1625329950,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",761815409,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX4902798,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M24As,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074933,miRNA-Seq,75,3123132225,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1468877222,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX4902797,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M16As,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074934,miRNA-Seq,75,1727156625,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",798139241,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX4902796,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,M12As,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074935,miRNA-Seq,75,6800929950,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",3167203315,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX4902795,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I24Ds,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074936,miRNA-Seq,75,4332845925,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",1978362605,WAGENINGEN UNIVERSITY,2014-10,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX4902794,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I24Bs,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074937,miRNA-Seq,75,2351345100,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",922921740,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX4902793,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I16Cs,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074938,miRNA-Seq,75,6052033125,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",2841594087,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX4902792,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I16Bs,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
SRR8074939,miRNA-Seq,75,6428505900,PRJNA496584,SAMN10245969,"Microbe\, viral or environmental",2935710738,WAGENINGEN UNIVERSITY,2014-10,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX4902791,Netherlands,Europe,Netherlands:Wageningen,Solanum lycopersicum,NextSeq 500,B05.10,I16As,SINGLE,size fractionation,TRANSCRIPTOMIC,Botrytis cinerea,ILLUMINA,2020-12-31T00:00:00Z,Botrytis cinerea-infected tomato leaf,mixed culture,SRP166089,leaf
